STORED_PROCEDURE,PIVOT,COL_SCAN,FILES_SCANNED,WINDOW_FUNCTIONS,IN_SPROC,TABLE_ROWS,USAGE_TRACKING_REWRITERULES,STATEMENT_TYPE_ID,AGGREGATION_PLACEMENT,SAMPLE_CLAUSE,FILTER_PULLUP_FLATTEN,DUR_COMPILING,WAREHOUSE_SIZE,UNPIVOT,IS_RESTART,RECURSIVE_WITH,CONNECT_BY,LIMIT_PROJECTION_PUSHDOWN,FILTER_PUSHDOWN,LIMIT_NARY_UNION_ALL_PUSHDOWN,RUNTIME_PRUNING_MULTIPLE_BLOOM_FILTERS,IS_CACHE_HIT,NUM_TABLES,COL_PART_KEY,COL_JOIN_KEY,BYTES_SCANNED,TABLE_FILES,TOTAL_DURATION,FILTER_PUSHDOWN_FLATTEN,JAVASCRIPT,COL_GROUP_KEY,PRODUCED_ROWS,BLOOM_FILTER_HASH_SHARING,STORED_PROCEDURE_CHILD_JOB,JOIN_SKEW_HANDLING,BCAST_FAST_HT_MERGE,SMART_SCAN,USAGE_TRACKING_COMPILE,COL_JOIN_FILTER,AGGREGATION_ELIMINATION,DUR_GS_EXECUTING,SERVER_COUNT,USAGE_TRACKING_VISITORS,ROWS_SCANNED,IN_TASK,USAGE_TRACKING_IOEVENTS,DUR_XP_EXECUTING,QUALIFY_CLAUSE,COL_PART_ORDER_KEY,NARY_UNION_ALL,COL_PRUNING,LIMIT_LEFT_OUTER_JOIN_PUSHDOWN,COL_ORDER_KEY,HAS_OLTP_FLAG,HAS_RESTART,GS_JOB_CREDITS,JOB_CREDITS,NUM_EXTERNAL_TABLES,NUM_MVS,NUM_DATA_SHARING_TABLES,JOB_CREDITS.1,NUM_MVS_ON_EXTERNAL_TABLES,NUM_COPY_TARGET_TABLES,NUM_DATA_LAKE_TARGET_TABLES,VARIANT_COLUMN_ACCESS,QUEUE_TIME,XP_JOB_CREDITS,NUM_SO_MVS,NUM_CLUSTERED_OBJECTS,LATEST_CLUSTER_NUMBER,GS_MICRO_CREDITS,IO_REMOTE_EXTERNAL_WRITE_BYTES,JOB_WRITE_BYTES,JOB_READ_BYTES,NUM_CLONED_OBJECTS,FILES_CREATED,FILES_REGISTERED,GS_COPY_LOADABLE_EXTERNAL_FILES,FILTERED_FILES,STATS_FILES_SCANNED,NUM_MASKED_TABLES,SCAN_RSO,NUM_SHARED_TABLES_WITH_JOBS,NUM_TABLES_IN_SHARE,IS_ACCELERATED,NUM_TABLES_WITH_DS_TOOL_JOBS,FILES_ASSIGNED_TO_SCAN,EXTERNAL_FUNCTIONS,PYTHON_FUNCTIONS,JAVA_FUNCTIONS,NUM_ACCOUNT_USAGE_TABLES,NUM_TAGGED_TABLES,PYTHON_DS_FUNCTIONS
-1,-1,46,1,-1,0,144,-1,12544,-1,-1,-1,197,2,-1,0,-1,-1,-1,-1,-1,-1,0,1,1,0,54784,1,551,-1,-1,0,144,-1,-1,-1,-1,-1,-1,0,-1,25,1,-1,144,0,-1,173,-1,1,-1,0,-1,0,0,0,5.7e-05,9.388055556e-05,0,0,0,9.388055556e-05,0,1,0,0,0,3.688055556e-05,0,0,0.0,57,0,113664,54784,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
-1,-1,23,1,-1,0,8,-1,12544,-1,-1,-1,39,2,-1,0,-1,-1,-1,-1,-1,-1,0,1,0,0,6144,1,492,-1,-1,0,3714,-1,-1,-1,-1,-1,-1,0,-1,51,2,-1,8,0,-1,257,-1,0,-1,0,-1,0,0,0,3.5e-05,0.0001011683333,0,0,0,0.0001011683333,0,0,0,0,0,6.616833333e-05,0,0,1.0,35,0,1716384,575488,0,1,1,0,0,2,0,100,0,0,0,0,2,0,0,0,0,0,0
-1,-1,6,2,-1,0,395,-1,12544,-1,-1,-1,79,8,-1,0,-1,-1,-1,-1,-1,-1,0,1,0,0,166400,2,4683,-1,-1,6,0,-1,-1,-1,-1,-1,-1,0,-1,22,2,-1,395,0,-1,27,-1,0,-1,2,-1,0,0,0,2.4e-05,4.85e-05,0,0,0,4.85e-05,0,0,0,2,4497,2.45e-05,0,1,0.0,24,0,0,166400,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0
-1,-1,3,1335,-1,0,233258477,-1,12544,-1,-1,-1,47,1,-1,0,-1,-1,-1,-1,-1,-1,0,1,0,2,15915068416,1335,4715,-1,-1,1,15143,-1,-1,-1,-1,-1,-1,0,-1,26,1,-1,233258477,0,-1,4500,-1,0,-1,2,-1,0,0,0,3e-05,0.01309105361,0,0,0,0.01309105361,0,0,0,0,0,0.01306105361,0,0,0.0,30,0,320680576,320499712,0,1,1,0,1334,1337,0,4351,0,0,0,0,1337,0,0,0,0,0,0
-1,-1,2,0,-1,0,0,-1,12544,-1,-1,-1,54,4,-1,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,333,-1,-1,0,1,-1,-1,-1,-1,-1,-1,0,-1,26,1,-1,0,0,-1,151,-1,0,-1,5,-1,0,0,0,2.7e-05,7.42e-05,0,0,0,7.42e-05,0,0,0,2,0,4.72e-05,0,0,2.0,27,0,7680,2560,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
-1,-1,210,0,-1,0,0,-1,12544,-1,-1,-1,172,1,-1,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,757,-1,-1,0,6198,-1,-1,-1,-1,-1,-1,0,-1,40,1,-1,0,0,-1,435,-1,0,-1,0,-1,0,0,0,4.6e-05,0.000313,0,0,0,0.000313,0,0,0,0,0,0.000267,0,0,0.0,46,0,2899968,1449984,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
-1,-1,13,0,-1,0,0,-1,12544,-1,-1,-1,102,8,-1,0,-1,-1,-1,-1,-1,-1,0,1,0,0,0,0,2189,-1,-1,0,42,-1,-1,-1,-1,-1,-1,0,-1,37,1,-1,0,0,-1,114,-1,0,-1,4,-1,0,0,0,3.8e-05,0.00015364,0,0,0,0.00015364,0,0,0,1,1826,0.00011564,0,1,0.0,38,0,41472,13824,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
-1,-1,13,0,-1,0,0,-1,12544,-1,-1,-1,110,1,-1,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,563,-1,-1,0,18181,-1,-1,-1,-1,-1,-1,0,-1,46,1,-1,0,0,-1,240,-1,0,-1,0,-1,0,0,0,4.8e-05,0.000119,0,0,0,0.000119,0,0,0,0,0,7.1e-05,0,0,0.0,48,0,2254848,1135616,0,1,1,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0
-1,-1,6,1,-1,0,116,-1,12544,-1,-1,-1,247,2,-1,0,-1,-1,-1,-1,-1,-1,0,1,1,1,65024,1,1090,-1,-1,0,7076,-1,-1,-1,-1,-1,-1,0,-1,23,2,-1,116,0,-1,730,-1,1,-1,3,-1,0,0,0,5.5e-05,0.000423,0,0,0,0.000423,0,1,1,3,0,0.000368,0,0,0.0,55,0,2881536,5259264,0,3,3,0,1,12,0,100,0,0,0,0,18,0,0,0,0,0,0
-1,-1,1,0,-1,1,0,-1,12544,-1,-1,-1,73,2,-1,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,297,-1,-1,0,7,-1,-1,-1,-1,-1,-1,0,-1,45,1,-1,0,1,-1,63,-1,0,-1,0,-1,0,0,0,3.4e-05,4.348333333e-05,0,0,0,4.348333333e-05,0,0,0,0,0,9.483333334e-06,0,0,0.0,34,0,2048,1024,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
