col_name,col_value
RTRIMMED_LENGTH,1
ATAN2,1
SEQ1,1
||,1
STORED_PROCEDURE,0
TRUNCTIMESTAMPTOQuarter,1
GET_PRIVILEGE_CODES_AND_NAMES,1
TRY_TO_TIME,1
ST_GEOHASH_INTERNAL,1
PERCENTILE_DISC,1
CURRENT_ORGANIZATION_ID,1
AS_BOOLEAN,1
LINEARIZE,1
YEAROFWEEK,1
STDDEV_SAMP,1
PIVOT,0
COL_SCAN,TRUE
CBRT,1
TIMESTAMP_NTZ_FROM_PARTS,1
BOOLAND_AGG,1
FILES_SCANNED,FALSE
LTRIM,1
WINDOW_FUNCTIONS,0
IN_SPROC,TRUE
DAYOFWEEKISO,1
CONDITIONAL_TRUE_EVENT,1
IS_TIMESTAMP_NTZ,1
CURRENT_ACCOUNT,1
IS_DOUBLE,1
IS_ARRAY,1
DATE_ADDWEEKSTOTIMESTAMP,1
CURRENT_DATABASE_ID,1
TRY_PARSE_JSON,1
BITSHIFTLEFT,1
DECRYPT_RAW,1
<=,1
IS_TIME,1
TANH,1
IS NULL,1
TABLE_ROWS,FALSE
BITNOT,1
FLOOR,1
STRTOK,1
USAGE_TRACKING_REWRITERULES,FALSE
STATEMENT_TYPE_ID,13312
SYSTEM$GET_OBJECTS,1
DATE_ADDMILLISTOTIMESTAMP,1
SYSTEM$NULL_TO_REAL,1
PARSE_XML,1
STORED_PROCEDURE,1
MAX,1
REVERSE,1
STATEMENT_TYPE_ID,12800
SYSTEM$CLUSTERING_DEPTH,1
BITXOR,1
CASEINTERNAL,1
HASH,1
ZEROIFNULL,1
SUM,1
SHA2,1
CEIL,1
RPAD,1
AGGREGATION_PLACEMENT,0
MINHASH_COMBINE,1
ARRAY_POSITION,1
SAMPLE_CLAUSE,1
GET_BUILTIN_VIEWS,1
AS_TIMESTAMP_NTZ,1
IN_SPROC,FALSE
PARSE_GEO,1
WEEK,1
AS_TIMESTAMP_LTZ,1
VARIANCE,1
TRY_PARSE_GEO,1
FILTER_PULLUP_FLATTEN,1
LEAST,1
TRUNCDATETOYEAR,1
DUR_COMPILING,TRUE
OBJECT_CONSTRUCT,1
DATE_DIFFDATEINMONTHS,1
AS_DOUBLE,1
SYSTEM$EPFILE_GET_COL_EPS,1
DATE_ADDMINUTESTOTIMESTAMP,1
APPROX_PERCENTILE,1
